episode,return,length,mean_goal_error,success_ratio,op_delta_damage_sum,self_delta_damage_sum
312,49.72700703164264,287,0.06808982571450675,0.5714285714285714,0.0,0.0
313,57.155672143457195,295,0.06338126010308831,0.6305084745762712,0.0,0.0
314,68.17854887865542,304,0.053224071198584216,0.7335526315789473,0.0,0.0
315,52.087073549453635,291,0.064052461758512,0.5773195876288659,0.0,0.0
316,35.83940118391183,297,0.08071189416378034,0.39057239057239057,0.0,0.0
317,59.77031422588698,300,0.05448047270377477,0.65,0.0,0.0
318,47.823350651946384,298,0.06662013799252126,0.5234899328859061,0.0,0.0
319,52.60861087887315,295,0.0584815814333447,0.5796610169491525,0.0,0.0
320,45.87895139816101,293,0.06544444326044349,0.4948805460750853,0.0,0.0
321,61.06488926685415,305,0.05763949187564068,0.6655737704918033,0.0,0.0
322,51.58138903079089,294,0.06732877095540364,0.5816326530612245,0.0,0.0
323,43.873657868891314,293,0.08217590114057267,0.48464163822525597,0.0,0.0
324,62.04905854475328,297,0.05455891559722046,0.6767676767676768,0.0,0.0
325,49.737291154006016,294,0.06720650373470216,0.5510204081632653,0.0,0.0
326,62.22303110209759,296,0.05806534397541671,0.6722972972972973,0.0,0.0
327,48.10956095369329,296,0.0660186911102485,0.5236486486486487,0.0,0.0
328,53.26917968323687,292,0.060383021397745776,0.5958904109589042,0.0,0.0
329,56.73827747727046,296,0.06640452806007217,0.6317567567567568,0.0,0.0
330,44.106535465223715,294,0.0780632712808596,0.48639455782312924,0.0,0.0
331,72.27745445503024,293,0.05195309834573863,0.8156996587030717,0.0,0.0
332,44.772187410795595,291,0.06336956624824976,0.49828178694158076,0.0,0.0
333,48.71830191061599,299,0.06158328153516935,0.5250836120401338,0.0,0.0
334,53.261687820544466,294,0.06547605160142289,0.5816326530612245,0.0,0.0
335,59.79862695440181,298,0.056101964024089325,0.6577181208053692,0.0,0.0
336,48.65546206012368,296,0.06443679279874305,0.5337837837837838,0.0,0.0
337,43.36792107612564,292,0.0736545985437011,0.4897260273972603,0.0,0.0
338,53.832501002762,295,0.057831263415894264,0.5932203389830508,0.0,0.0
339,55.37057736306451,293,0.053372724013523845,0.6075085324232082,0.0,0.0
340,44.561481311451644,295,0.07476081140970779,0.4915254237288136,0.0,0.0
