episode,return,length,mean_goal_error,success_ratio,episode_success,op_delta_damage_sum,self_delta_damage_sum
272,-112.64996762573719,303,0.37504940074269133,1.0,1.0,0.0,0.0
273,-60.86096069216728,77,0.7752072853701455,0.0,0.0,0.0,0.0
274,-1.654537707567215,2,0.3272688686847687,0.0,0.0,0.0,0.0
275,1.926196575164795,1,0.07380348443984985,1.0,1.0,0.0,0.0
276,-295.9951145350933,473,0.621363880644389,0.0,0.0,0.0,0.0
277,-1.5633134245872498,2,0.2816566824913025,0.0,0.0,0.0,0.0
278,-1.6349067687988281,2,0.31745338439941406,0.0,0.0,0.0,0.0
279,-1.9225766360759735,2,0.46128830313682556,0.0,0.0,0.0,0.0
280,-1.6081246733665466,2,0.3040623068809509,0.0,0.0,0.0,0.0
281,-23.715457499027252,92,0.27864627766868344,1.0,1.0,0.0,0.0
282,-117.30479811131954,277,0.41781515657686585,0.0,0.0,0.0,0.0
283,-1.255958616733551,2,0.1279793381690979,0.0,0.0,0.0,0.0
284,-1.2384798526763916,2,0.11423993110656738,0.0,0.0,0.0,0.0
285,-1.5661874413490295,2,0.28309375047683716,0.0,0.0,0.0,0.0
286,-113.28866556286812,267,0.4180848911572038,0.0,0.0,0.0,0.0
287,-1.4660910964012146,2,0.2330455183982849,0.0,0.0,0.0,0.0
288,-1.9186621010303497,2,0.45933106541633606,0.0,0.0,0.0,0.0
289,-1.8051503002643585,2,0.40257516503334045,0.0,0.0,0.0,0.0
290,-1.7875236868858337,2,0.3937618136405945,0.0,0.0,0.0,0.0
291,-75.70430564880371,255,0.3018208075387805,1.0,1.0,0.0,0.0
292,-71.7878760099411,129,0.5466502020063326,0.0,0.0,0.0,0.0
293,-1.8241017162799835,2,0.41205087304115295,0.0,0.0,0.0,0.0
294,-1.821052610874176,2,0.4105263352394104,0.0,0.0,0.0,0.0
295,-2.120145559310913,2,0.5600727796554565,0.0,0.0,0.0,0.0
296,-294.40183368325233,674,0.432940408233719,0.0,0.0,0.0,0.0
297,-1.7622580826282501,2,0.38112905621528625,0.0,0.0,0.0,0.0
298,-1.551347017288208,2,0.275673508644104,0.0,0.0,0.0,0.0
299,-1.500741422176361,2,0.25037068128585815,0.0,0.0,0.0,0.0
300,-1.9917554259300232,2,0.4958776831626892,0.0,0.0,0.0,0.0
301,-130.59442254900932,388,0.3321505734293731,0.0,0.0,0.0,0.0
302,-1.8739308714866638,2,0.4369654059410095,0.0,0.0,0.0,0.0
303,-1.2740371227264404,2,0.1320185661315918,0.0,0.0,0.0,0.0
304,-1.7760083675384521,2,0.3880041837692261,0.0,0.0,0.0,0.0
305,1.9739816188812256,1,0.02601832151412964,1.0,1.0,0.0,0.0
306,-146.7448119521141,254,0.5718299706620494,0.0,0.0,0.0,0.0
307,-1.7919125258922577,2,0.39595624804496765,0.0,0.0,0.0,0.0
308,-1.9210863709449768,2,0.4605432152748108,0.0,0.0,0.0,0.0
309,-1.8766021728515625,2,0.43830108642578125,0.0,0.0,0.0,0.0
310,-1.5063342452049255,2,0.2531670928001404,0.0,0.0,0.0,0.0
311,-3.222680665552616,33,0.15735395839720062,1.0,1.0,0.0,0.0
312,-63.21953235566616,184,0.35249745910582336,1.0,1.0,0.0,0.0
313,-87.54201719164848,110,0.7846547048200261,0.0,0.0,0.0,0.0
314,-1.6570124328136444,2,0.328506201505661,0.0,0.0,0.0,0.0
315,-1.655862808227539,2,0.32793140411376953,0.0,0.0,0.0,0.0
316,-410.44531624019146,915,0.44614788769372826,0.0,0.0,0.0,0.0
317,-1.4726839661598206,2,0.23634201288223267,0.0,0.0,0.0,0.0
318,-1.869977056980133,2,0.4349885582923889,0.0,0.0,0.0,0.0
319,-1.6405620276927948,2,0.3202809989452362,0.0,0.0,0.0,0.0
320,-1.450007975101471,2,0.22500401735305786,0.0,0.0,0.0,0.0
321,-49.810726046562195,184,0.2796778597909471,1.0,1.0,0.0,0.0
322,-116.93092978000641,162,0.7150674683076365,0.0,0.0,0.0,0.0
323,-1.4224932491779327,2,0.21124663949012756,0.0,0.0,0.0,0.0
324,-1.6951364874839783,2,0.34256821870803833,0.0,0.0,0.0,0.0
325,-1.7805356681346893,2,0.39026781916618347,0.0,0.0,0.0,0.0
326,-151.06482249498367,212,0.7060133148476763,0.0,0.0,0.0,0.0
327,-1.8641887307167053,2,0.43209439516067505,0.0,0.0,0.0,0.0
328,-1.8296501636505127,2,0.41482508182525635,0.0,0.0,0.0,0.0
329,-2.060227155685425,2,0.5301135778427124,0.0,0.0,0.0,0.0
330,-1.4207994937896729,2,0.21039974689483643,0.0,0.0,0.0,0.0
331,-59.84646575152874,198,0.3112447773567354,1.0,1.0,0.0,0.0
332,-6.12167851626873,40,0.20179196149110795,1.0,1.0,0.0,0.0
333,-53.92897905409336,83,0.6363732435976166,0.0,0.0,0.0,0.0
334,-1.3852920234203339,2,0.19264599680900574,0.0,0.0,0.0,0.0
335,-1.7404041588306427,2,0.37020209431648254,0.0,0.0,0.0,0.0
336,-42.44374290108681,159,0.27782228401621933,1.0,1.0,0.0,0.0
337,-67.62797155976295,148,0.4684998101076564,1.0,1.0,0.0,0.0
338,-23.684031069278717,50,0.45228062391281126,0.0,0.0,0.0,0.0
339,-1.2951581478118896,2,0.14757907390594482,0.0,0.0,0.0,0.0
340,1.9465619325637817,1,0.05343806743621826,1.0,1.0,0.0,0.0
341,-468.8636498749256,671,0.6955643083050781,0.0,0.0,0.0,0.0
342,-1.79629448056221,2,0.39814725518226624,0.0,0.0,0.0,0.0
343,-1.5695183277130127,2,0.28475916385650635,0.0,0.0,0.0,0.0
344,-1.9069600701332092,2,0.453480064868927,0.0,0.0,0.0,0.0
345,-1.655549794435501,2,0.32777491211891174,0.0,0.0,0.0,0.0
346,-170.88386699557304,417,0.406220305273287,0.0,0.0,0.0,0.0
347,-1.6282996833324432,2,0.3141498267650604,0.0,0.0,0.0,0.0
348,-1.3528257012367249,2,0.17641288042068481,0.0,0.0,0.0,0.0
349,-2.1331101059913635,2,0.5665550827980042,0.0,0.0,0.0,0.0
350,-1.8387555480003357,2,0.41937774419784546,0.0,0.0,0.0,0.0
351,-112.11074678599834,247,0.46048885439088955,1.0,1.0,0.0,0.0
352,-136.72648003697395,291,0.47528000140108195,1.0,1.0,0.0,0.0
353,-35.183228239417076,47,0.7262388994085028,0.0,0.0,0.0,0.0
354,-2.097735345363617,2,0.5488676428794861,0.0,0.0,0.0,0.0
355,-1.9351036548614502,2,0.4675518274307251,0.0,0.0,0.0,0.0
356,-126.60550154745579,359,0.356254879520132,1.0,1.0,0.0,0.0
357,-197.71935918927193,408,0.48717980371678576,1.0,1.0,0.0,0.0
